web-scraper-start-url,link_selector,link_selector-href,title,author,time
"http://www.foxnews.com/politics.html","Anti-Trump sticker sales grow after Texas controversy","http://www.foxnews.com/politics/2017/11/22/anti-trump-sticker-sales-grow-after-texas-controversy.html","Anti-Trump sticker sales grow after Texas controversy","null","15 hours ago"
"http://www.foxnews.com/politics.html","After Trump remarks, Alabama Senate hopefuls make latest pitches to voters","http://www.foxnews.com/politics/2017/11/22/after-trump-remarks-alabama-senate-hopefuls-make-latest-pitches-to-voters.html","After Trump remarks, Alabama Senate hopefuls make latest pitches to voters","null","14 hours ago"
"http://www.foxnews.com/politics.html","Hillary Clinton: Obama's record made it hard to run on 'agenda of change'","http://www.foxnews.com/politics/2017/11/22/hillary-clinton-obamas-record-made-it-hard-to-run-on-agenda-change.html","Hillary Clinton: Obama's record made it hard to run on 'agenda of change'","Washington Examiner","14 hours ago"
"http://www.foxnews.com/politics.html","Alabama Senate hopeful Doug Jones defended man with ties to KKK, Holocaust deniers","http://www.foxnews.com/politics/2017/11/22/alabama-senate-hopeful-doug-jones-defended-man-with-ties-to-kkk-holocaust-deniers.html","Alabama Senate hopeful Doug Jones defended man with ties to KKK, Holocaust deniers","Lukas Mikelionis","11 hours ago"
"http://www.foxnews.com/politics.html","John Conyers’ hometown newspaper calls for resignation after 'public betrayal'","http://www.foxnews.com/politics/2017/11/22/john-conyers-hometown-newspaper-calls-for-resignation-after-public-betrayal.html","John Conyers’ hometown newspaper calls for resignation after 'public betrayal'","Barnini Chakraborty","8 hours ago"
"http://www.foxnews.com/politics.html","Violence against Rohingya Muslims in Burma is 'ethnic cleansing,' US declares","http://www.foxnews.com/politics/2017/11/22/violence-against-rohingya-muslims-in-burma-is-ethnic-cleansing-us-declares.html","Violence against Rohingya Muslims in Burma is 'ethnic cleansing,' US declares","Travis Fedschun","10 hours ago"
"http://www.foxnews.com/politics.html","Storm of sexual harassment claims engulfs Capitol Hill","http://www.foxnews.com/politics/2017/11/22/storm-sexual-harassment-claims-engulfs-capitol-hill.html","Storm of sexual harassment claims engulfs Capitol Hill","Chad Pergram","12 hours ago"
"http://www.foxnews.com/politics.html","'Reading Rainbow' host LeVar Burton mistaken for LaVar Ball on Twitter","http://www.foxnews.com/entertainment/2017/11/22/reading-rainbow-host-levar-burton-mistaken-for-lavar-ball-on-twitter.html","'Reading Rainbow' host LeVar Burton mistaken for LaVar Ball on Twitter","Kathleen Joyce","8 hours ago"
"http://www.foxnews.com/politics.html","Alaska's Murkowski says she backs repeal of ObamaCare individual mandate","http://www.foxnews.com/politics/2017/11/22/alaskas-murkowski-says-backs-repeal-obamacare-individual-mandate.html","Alaska's Murkowski says she backs repeal of ObamaCare individual mandate","Edmund DeMarche","16 hours ago"
"http://www.foxnews.com/politics.html","Trump: NFL may keep teams in locker rooms during national anthem next year","http://www.foxnews.com/politics/2017/11/22/trump-nfl-may-keep-teams-in-locker-rooms-during-national-anthem-next-year.html","Trump: NFL may keep teams in locker rooms during national anthem next year","Fox News","14 hours ago"
"http://www.foxnews.com/politics.html","'Poor man's Don King': Trump takes aim at hoops dad LaVar Ball as feud escalates","http://www.foxnews.com/politics/2017/11/22/poor-mans-don-king-trump-takes-aim-at-hoops-dad-lavar-ball-as-feud-escalates.html","'Poor man's Don King': Trump takes aim at hoops dad LaVar Ball as feud escalates","Lukas Mikelionis","14 hours ago"
"http://www.foxnews.com/politics.html","Homeless people defecating on LA streets fuels horror hepatitis outbreak, as city faulted","http://www.foxnews.com/politics/2017/11/22/homeless-people-defecating-on-la-streets-fuels-horror-hepatitis-outbreak-as-city-faulted.html","Homeless people defecating on LA streets fuels horror hepatitis outbreak, as city faulted","Tori Richards","9 hours ago"
